row_key,block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,variety_score,rootstock_raw,rootstock_matched,rootstock_id,rootstock_score,planting_year,tree_count,length_m,area_m2,flags
Bravo 13|13|,Bravo 13,NO MATCH,13,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,151,151.0,604.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|14|,Bravo 13,NO MATCH,14,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,154,154.0,616.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|15|,Bravo 13,NO MATCH,15,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,154,154.0,616.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|16|,Bravo 13,NO MATCH,16,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,22,22.0,88.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|16|,Bravo 13,NO MATCH,16,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,146,146.0,584.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|17|,Bravo 13,NO MATCH,17,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,178,178.0,712.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|18|,Bravo 13,NO MATCH,18,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,180,180.0,720.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|19|,Bravo 13,NO MATCH,19,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,77,77.0,308.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|1|,Bravo 14,NO MATCH,1,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,19,19.0,66.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|2|,Bravo 14,NO MATCH,2,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,32,32.0,112.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|3|,Bravo 14,NO MATCH,3,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,48,48.0,168.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|4|,Bravo 14,NO MATCH,4,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,67,67.0,234.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|5|,Bravo 14,NO MATCH,5,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,81,81.0,283.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|6|,Bravo 14,NO MATCH,6,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,73,73.0,255.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|7|,Bravo 14,NO MATCH,7,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,88,88.0,308.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|8|,Bravo 14,NO MATCH,8,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,103,103.0,360.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|9|,Bravo 14,NO MATCH,9,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,108,108.0,378.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|10|,Bravo 14,NO MATCH,10,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,150,150.0,525.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|11|,Bravo 14,NO MATCH,11,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,155,155.0,542.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|12|,Bravo 14,NO MATCH,12,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,163,163.0,570.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|19|,Bravo 14,NO MATCH,19,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,106,106.0,371.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|20|,Bravo 14,NO MATCH,20,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,184,184.0,644.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|21|,Bravo 14,NO MATCH,21,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,182,182.0,637.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|22|,Bravo 14,NO MATCH,22,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,183,183.0,640.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|23|,Bravo 14,NO MATCH,23,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,188,188.0,658.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|24|,Bravo 14,NO MATCH,24,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,193,193.0,675.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|25|,Bravo 14,NO MATCH,25,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,192,192.0,672.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|26|,Bravo 14,NO MATCH,26,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,192,192.0,672.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|27|,Bravo 14,NO MATCH,27,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,115,115.0,402.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|27|,Bravo 15,NO MATCH,27,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,83,82.5,288.75,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|28|,Bravo 15,NO MATCH,28,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,195,199.0,696.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|29|,Bravo 15,NO MATCH,29,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,198,200.5,701.75,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|30|,Bravo 15,NO MATCH,30,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,199,201.0,703.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|31|,Bravo 15,NO MATCH,31,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,204,203.0,710.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|32|,Bravo 15,NO MATCH,32,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,201,205.5,719.25,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|33|,Bravo 15,NO MATCH,33,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,202,206.0,721.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|34|,Bravo 15,NO MATCH,34,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,207,207.0,724.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 15|35|,Bravo 15,NO MATCH,35,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2015,207,207.0,724.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|1|,CHERRY BRAVO,NO MATCH,1,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,183,183.0,549.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|2|,CHERRY BRAVO,NO MATCH,2,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,182,182.0,546.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|3|,CHERRY BRAVO,NO MATCH,3,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,181,181.0,543.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|4|,CHERRY BRAVO,NO MATCH,4,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,180,180.0,540.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|5|,CHERRY BRAVO,NO MATCH,5,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,179,179.0,537.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|6|,CHERRY BRAVO,NO MATCH,6,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,178,178.0,534.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|7|,CHERRY BRAVO,NO MATCH,7,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,177,177.0,531.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|8|,CHERRY BRAVO,NO MATCH,8,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,177,177.0,531.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|9|,CHERRY BRAVO,NO MATCH,9,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,176,176.0,528.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|10|,CHERRY BRAVO,NO MATCH,10,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,175,175.0,525.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|11|,CHERRY BRAVO,NO MATCH,11,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,175,175.0,525.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|12|,CHERRY BRAVO,NO MATCH,12,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,174,174.0,522.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|13|,CHERRY BRAVO,NO MATCH,13,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,173,173.0,519.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|14|,CHERRY BRAVO,NO MATCH,14,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,173,173.0,519.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|15|,CHERRY BRAVO,NO MATCH,15,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,172,172.0,516.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
CHERRY BRAVO|16|,CHERRY BRAVO,NO MATCH,16,,PORTION,BRAVO,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2016,171,171.0,513.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|12|,Cherries,NO MATCH,12,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,173,173.0,865.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|13|,Cherries,NO MATCH,13,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2021,172,172.0,860.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|14|,Cherries,NO MATCH,14,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2021,172,172.0,860.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|15|,Cherries,NO MATCH,15,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,170,170.0,850.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|16|,Cherries,NO MATCH,16,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,170,170.0,850.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|17|,Cherries,NO MATCH,17,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,61,61.0,305.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|17|,Cherries,NO MATCH,17,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2001,29,29.0,145.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|17|,Cherries,NO MATCH,17,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2006,31,31.0,155.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|17|,Cherries,NO MATCH,17,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,50,50.0,250.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|18|,Cherries,NO MATCH,18,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2018,53,53.0,265.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|18|,Cherries,NO MATCH,18,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,50,50.0,250.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|18|,Cherries,NO MATCH,18,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2018,50,50.0,250.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|18|,Cherries,NO MATCH,18,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2018,13,13.0,65.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|19|,Cherries,NO MATCH,19,,PORTION,Lap,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2006,12,12.0,60.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|19|,Cherries,NO MATCH,19,,PORTION,Lap,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2006,52,52.0,260.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|19|,Cherries,NO MATCH,19,,PORTION,Lap,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2001,51,51.0,255.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|19|,Cherries,NO MATCH,19,,PORTION,Lap,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2006,48,48.0,240.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|20|,Cherries,NO MATCH,20,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2006,167,167.0,835.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|21|,Cherries,NO MATCH,21,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1987,166,166.0,830.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|22|,Cherries,NO MATCH,22,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2018,165,165.0,825.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|23|,Cherries,NO MATCH,23,,PORTION,Chelan,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2018,164,164.0,820.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|24|,Cherries,NO MATCH,24,,PORTION,Chelan,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2024,150,164.0,820.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|24|,Cherries,NO MATCH,24,,PORTION,Chelan,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2018,14,14.0,70.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|25|,Cherries,NO MATCH,25,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2021,81,81.0,405.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|25|,Cherries,NO MATCH,25,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1997,81,81.0,405.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|26|,Cherries,NO MATCH,26,,PORTION,Lap,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1997,160,160.0,800.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|27|,Cherries,NO MATCH,27,,PORTION,Van,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,1997,157,157.0,785.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|28|,Cherries,NO MATCH,28,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2012,156,156.0,780.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Cherries|29|,Cherries,NO MATCH,29,,PORTION,Rain,NO MATCH,NO MATCH,0.0,Mazzard,NO MATCH,NO MATCH,0.0,2012,156,156.0,780.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
GS/PL Trellis|1|,GS/PL Trellis,NO MATCH,1,,PORTION,P/L,NO MATCH,NO MATCH,0.0,104,NO MATCH,NO MATCH,0.0,2001,346,173.0,865.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
GS/PL Trellis|2|,GS/PL Trellis,NO MATCH,2,,PORTION,P/L,NO MATCH,NO MATCH,0.0,104,NO MATCH,NO MATCH,0.0,2001,346,173.0,865.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
GS/PL Trellis|3|,GS/PL Trellis,NO MATCH,3,,PORTION,G/S,NO MATCH,NO MATCH,0.0,104,NO MATCH,NO MATCH,0.0,1996,346,173.0,778.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
GS/PL Trellis|4|,GS/PL Trellis,NO MATCH,4,,PORTION,G/S,NO MATCH,NO MATCH,0.0,104,NO MATCH,NO MATCH,0.0,1996,344,172.0,774.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
